source_path,base_experiment_id,sim_economy_mode,sim_market_spend_mode,sim_price_band_mode,sim_market_choice_mode,fresh_gate_pass,ml_gate_pass,actual_balanced_none,actual_balanced_v9,actual_balanced_delta,actual_power_none,actual_power_v9,actual_power_delta,predicted_balanced_none,predicted_balanced_v9,predicted_balanced_delta,predicted_power_none,predicted_power_v9,predicted_power_delta,recommendation_score
logs/sim/runtime_late_access_choice_v16_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,gated_known_cost,first_reroll_free_v1,catalog_normalized_v1,affordable_alternative_v2,1,1,0.5333,0.5583,0.025,0.575,0.7083,0.1333,0.5381,0.5736,0.0355,0.6247,0.6845,0.0598,3.1613
logs/sim/runtime_s4_rank_weight_v1_v9_lift_first_reroll_free_r400_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068_runtime_station_pool_s4_rank_weight_v1,gated_known_cost,reroll_slot_sell_v1,growth_access_v1,affordable_alternative_v1,1,1,0.48,0.545,0.065,0.55,0.66,0.11,0.5075,0.5331,0.0256,0.5573,0.5957,0.0383,3.1455
logs/sim/runtime_s4_rank_weight_v1_v9_lift_no_spend_seed91720_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068_runtime_station_pool_s4_rank_weight_v1,gated_known_cost,none,growth_access_v1,affordable_alternative_v1,1,1,0.55,0.6333,0.0833,0.625,0.6583,0.0333,0.5478,0.6068,0.059,0.6197,0.6563,0.0366,3.1078
logs/sim/runtime_late_access_growth_price_r400_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,gated_known_cost,first_reroll_free_v1,growth_access_v1,affordable_alternative_v2,1,1,0.565,0.6,0.035,0.6575,0.7125,0.055,0.5655,0.6307,0.0651,0.6008,0.702,0.1012,3.0927
logs/sim/runtime_growth_access_choice_v2_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,gated_known_cost,first_reroll_free_v1,catalog_normalized_v1,affordable_alternative_v2,1,1,0.4917,0.575,0.0833,0.6333,0.6833,0.05,0.5381,0.5736,0.0355,0.6247,0.6845,0.0598,3.0863
logs/sim/runtime_station_pool_leveling_r400_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068_runtime_station_pool_v1,trace_only,none,none,none,1,0,0.48,0.6725,0.1925,0.54,0.66,0.12,0.5417,0.4792,-0.0625,0.6032,0.5488,-0.0544,3.0063
logs/sim/prototype_s1_easy_entry_v91_r240_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.9417,0.9458,0.0042,0.9417,0.95,0.0083,0.9299,0.9417,0.0119,0.9349,0.9389,0.004,3.0004
logs/sim/prototype_s1_softened_v91_r240_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.9417,0.9458,0.0042,0.9375,0.9458,0.0083,0.9299,0.9417,0.0119,0.9349,0.9389,0.004,3.0004
logs/sim/economy_catalog_normalized_reward040_v1_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,gated_known_cost,reroll_slot_sell_v1,catalog_normalized_v1,affordable_alternative_v1,1,0,0.5083,0.675,0.1667,0.6083,0.7083,0.1,0.5894,0.6301,0.0407,0.6802,0.5995,-0.0807,2.9992
logs/sim/runtime_s4_rank_weight_v1_v9_lift_no_spend_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068_runtime_station_pool_s4_rank_weight_v1,gated_known_cost,none,growth_access_v1,affordable_alternative_v1,1,1,0.5583,0.625,0.0667,0.65,0.675,0.025,0.5478,0.6068,0.059,0.6197,0.6563,0.0366,2.9953
